Anno,Nazione,Valore,
2004,Belgium,0.642212356,Center
2005,Belgium,0.663485371,Center
2006,Belgium,0.676134791,Center
2007,Belgium,0.670972513,Center
2008,Belgium,0.711758228,Center
2009,Belgium,2.189959978,Center
2010,Belgium,4.800259909,Center
2011,Belgium,4.802362845,Center
2012,Belgium,4.914488653,Center
2013,Belgium,5.08799781,Center
2014,Belgium,5.8450701,Center
2015,Belgium,3.921237612,Center
2016,Belgium,6.029386814,Center
2017,Belgium,6.637323627,Center
2018,Belgium,6.709170169,Center
2019,Belgium,6.816810062,Center
2020,Belgium,11.03462694,Center
2004,Bulgaria,0.971271264,South
2005,Bulgaria,0.884036416,South
2006,Bulgaria,1.04944185,South
2007,Bulgaria,0.955984445,South
2008,Bulgaria,0.938456046,South
2009,Bulgaria,1.091598985,South
2010,Bulgaria,1.497628257,South
2011,Bulgaria,0.898186793,South
2012,Bulgaria,0.649725623,South
2013,Bulgaria,5.8855445,South
2014,Bulgaria,5.741757228,South
2015,Bulgaria,6.491598428,South
2016,Bulgaria,7.202599442,South
2017,Bulgaria,7.272895381,South
2018,Bulgaria,8.075590982,South
2019,Bulgaria,7.893056862,South
2020,Bulgaria,9.100600469,South
2004,Czechia,1.20253178,Center
2005,Czechia,1.098585331,Center
2006,Czechia,1.072917775,Center
2007,Czechia,1.048313269,Center
2008,Czechia,2.842550914,Center
2009,Czechia,4.312231941,Center
2010,Czechia,5.219985653,Center
2011,Czechia,1.285296392,Center
2012,Czechia,6.248678051,Center
2013,Czechia,6.444501653,Center
2014,Czechia,6.99677021,Center
2015,Czechia,6.536514055,Center
2016,Czechia,6.496172922,Center
2017,Czechia,6.616399733,Center
2018,Czechia,6.556097652,Center
2019,Czechia,7.840791441,Center
2020,Czechia,9.383061436,Center
2004,Denmark,0.444862692,North
2005,Denmark,0.442992984,North
2006,Denmark,0.520838333,North
2007,Denmark,0.534624505,North
2008,Denmark,0.540392247,North
2009,Denmark,0.692969448,North
2010,Denmark,1.14963977,North
