,LOCATION,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Belgium,Center,2.9,3.4,3.8,4.7,5.1,6.1,6.7,6.7,7.1,7.6,7.8,7.9,8.2,8.2,8.3,8.3,8.4,
Bulgaria,South,14.1,14.3,14.8,13.9,17.3,21.6,24.3,24.8,27.2,29.2,28.5,28.9,30.0,29.9,33.3,35.4,37.2,
Czechia,Center,9.9,10.8,11.2,12.4,12.9,14.3,14.1,15.4,16.2,17.7,19.5,19.8,19.9,19.7,20.6,22.6,23.5,
Denmark,North,20.5,22.6,23.7,26.7,28.0,29.4,30.4,31.9,33.2,34.7,38.0,39.5,41.1,44.1,45.0,47.3,51.1,
Germany,Center,7.2,7.7,8.4,10.2,10.3,11.2,12.1,12.6,13.4,13.4,13.4,13.4,13.0,13.4,14.2,14.5,14.8,
Estonia,North,33.4,32.4,30.8,33.0,36.0,42.0,43.2,44.5,43.2,43.1,44.9,50.0,51.8,52.2,53.7,52.2,57.9,
Ireland,North,2.9,3.4,3.6,3.8,3.5,4.2,4.3,4.7,4.8,5.2,6.3,6.2,6.2,6.6,6.4,6.3,6.3,
Greece,South,13.5,13.4,13.1,14.7,14.7,17.2,18.7,20.1,24.1,27.4,27.9,26.6,25.4,28.2,30.1,30.0,31.9,
Spain,South,9.5,9.4,11.4,11.2,11.6,13.2,12.5,13.5,14.0,14.0,15.6,16.9,15.9,16.2,16.1,17.2,18.0,
France,Center,12.5,12.4,11.7,12.8,13.3,15.0,16.2,15.3,16.6,17.6,18.0,18.9,20.1,20.6,21.2,22.4,23.4,
Croatia,South,29.4,30.0,29.1,29.3,28.8,31.3,32.9,33.8,36.6,37.3,36.2,38.6,37.6,36.6,36.7,36.8,36.9,
Italy,South,5.7,8.2,10.1,13.3,15.3,16.4,15.6,13.8,17.0,18.1,18.9,19.3,18.9,20.1,19.3,19.7,19.9,
Cyprus,South,9.3,10.0,10.4,13.1,14.5,17.3,18.8,20.0,21.8,22.5,22.2,24.1,24.7,26.4,37.2,35.1,37.1,
Latvia,North,42.5,42.7,42.6,42.4,42.9,47.9,40.7,44.7,47.3,49.7,52.2,51.7,51.8,54.6,55.4,57.7,57.1,
Lithuania,North,30.4,29.3,29.2,29.1,32.0,33.7,32.5,32.8,34.5,36.9,40.6,46.1,46.6,46.5,46.0,47.4,50.4,
Luxembourg,Center,1.8,3.6,3.6,4.4,4.6,4.6,4.7,4.7,4.9,5.3,7.1,6.9,7.1,7.4,8.4,8.7,12.6,
Hungary,Center,6.4,9.9,11.4,13.5,12.0,17.0,18.1,20.0,23.3,23.7,21.3,21.3,21.0,19.9,18.2,18.2,17.7,
Malta,South,1.0,1.0,1.4,1.5,1.7,2.0,7.3,12.0,13.4,15.4,15.0,14.6,16.9,19.3,22.8,23.6,23.0,
Netherlands,North,2.2,2.4,2.7,2.9,3.0,3.4,3.1,3.7,3.8,4.0,4.9,5.3,5.2,5.7,6.2,7.2,8.1,
Austria,Center,20.2,22.8,24.5,27.1,27.2,29.6,31.0,31.5,33.1,33.2,33.4,33.2,33.5,33.7,34.2,33.9,35.0,
Poland,Center,10.2,10.2,10.2,10.5,10.8,11.6,11.8,13.2,13.5,14.3,14.2,14.8,14.9,14.8,21.5,22.0,22.1,
Portugal,South,32.5,32.1,34.2,35.0,37.5,37.9,33.8,35.2,33.2,34.6,40.5,40.1,41.6,41.0,40.9,41.7,41.5,
Romania,South,17.3,17.9,17.6,19.5,23.2,26.4,27.2,24.3,25.7,26.2,26.7,25.9,26.9,26.6,25.4,25.7,25.3,
Slovenia,South,22.8,26.4,24.4,29.3,27.5,28.9,29.5,31.8,33.1,35.1,34.6,36.2,35.6,34.6,32.3,32.1,32.1,
Slovakia,Center,5.1,5.0,4.5,6.2,6.1,8.2,7.9,9.3,8.8,7.9,8.9,10.8,9.9,9.8,10.6,19.7,19.4,
Finland,North,39.5,39.1,41.4,41.4,43.1,42.9,44.0,45.7,48.2,50.8,52.0,52.6,53.7,54.6,54.9,56.9,57.6,
Sweden,North,45.9,49.0,52.5,54.5,55.8,59.2,57.1,58.5,60.6,61.7,62.6,63.2,63.4,63.6,63.3,64.4,66.4,
