,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2011-2012 average,2013-2014 average,2015-2016 average,2017-2018 average,S2005 (1),"
2011-2012","indicative
2013-2014","
2015-2016","trajectory
2017-2018",2020 target
EU27,9.604932491,10.18153499,10.77834901,11.74865031,12.55178278,13.85034829,14.40532441,14.54664113,16.00216184,16.65975845,17.4167429,17.82084358,17.97954052,18.41223001,19.09606658,19.88491021,22.08969447,15.27440149,17.03825067,17.90019205,18.75414829,,,,,,20
Belgium,1.916441658,2.324783225,2.657942829,3.140168889,3.610992839,4.746487782,6.004214613,6.302145863,7.08592974,7.671397583,8.03797676,8.06003911,8.743747828,9.135854427,9.471854005,9.928941888,13.00024772,6.694037801,7.854687171,8.401893469,9.303854216,2.2,4.36,5.44,7.06,9.22,13
Bulgaria,9.230634629,9.17293162,9.41538766,9.097630707,10.34492825,12.00528163,13.92746393,14.15158221,15.83663954,18.89766844,18.04989093,18.26111027,18.76019325,18.69471301,20.58096714,21.54548876,23.31915448,14.99411087,18.47377968,18.51065176,19.63784008,9.4,10.72,11.38,12.37,13.69,16
Czechia,6.772962569,7.11316811,7.361806543,7.895076044,8.673508017,9.977380476,10.51324929,10.94520661,12.81367912,13.9274386,15.07391775,15.06962327,14.92563915,14.79898135,15.13946942,16.2389053,17.30344711,11.87944287,14.50067817,14.99763121,14.96922539,6.1,7.48,8.17,9.205,10.585,13
Denmark,14.83905733,15.95505207,16.33189631,17.74667901,18.54283579,19.94775861,21.88770538,23.38869772,25.4651421,27.17344428,29.30991678,30.46888432,31.71478464,34.38738169,35.15949591,37.01992678,31.64807087,24.42691991,28.24168053,31.09183448,34.7734388,17,19.6,20.9,22.85,25.45,30
Germany,6.206808184,7.167113829,8.465975979,10.03895488,10.07154884,10.85135476,11.66721916,12.4700704,13.54884391,13.75955306,14.38456222,14.90555104,14.88884405,15.47595223,16.66027084,17.26635368,19.31221855,13.00945715,14.07205764,14.89719754,16.06811153,5.8,8.24,9.46,11.29,13.73,18
Estonia,18.40070118,17.46139204,15.99991971,17.1321656,18.81082563,23.00932099,24.57473656,25.51529752,25.58616596,25.35612091,26.13013696,28.98701817,29.23205225,29.5380841,29.96979013,31.72968302,30.17988495,25.55073174,25.74312894,29.10953521,29.75393711,18,19.4,20.1,21.15,22.55,25
Ireland,2.377595671,2.821510636,3.073498259,3.496588465,3.979138294,5.243378266,5.755323354,6.60456452,7.028897764,7.520502183,8.515920787,9.083126875,9.188945511,10.52030752,10.94181938,11.97870404,16.16023909,6.816731142,8.018211485,9.136036193,10.73106345,3.1,5.68,6.97,8.905,11.485,16
Greece (provisional),7.161259418,7.277087058,7.457755559,8.248712012,8.183239327,8.730624223,10.07732495,11.15267501,13.74126588,15.32596633,15.68313035,15.69027984,15.39046724,17.29961455,18.00102389,19.63262524,21.74907831,12.44697045,15.50454834,15.54037354,17.65031922,6.9,9.12,10.23,11.895,14.115,18
Spain,8.344547321,8.44437903,9.155834964,9.666744366,10.7439359,12.95774065,13.7817705,13.17623976,14.23885782,15.08089832,15.87947525,16.22096327,17.01463269,17.11833255,17.02256583,17.85183232,21.21951655,13.70754879,15.48018679,16.61779798,17.07044919,8.7,10.96,12.09,13.785,16.045,20
France,9.318902856,9.272062327,8.936262938,9.425506899,11.18815696,12.2146916,12.6713976,10.81288004,13.23929329,13.88021025,14.36154208,14.80312196,15.4506035,15.84653977,16.38439085,17.17434943,19.10911305,12.02608667,14.12087617,15.12686273,16.11546531,10.3,12.84,14.11,16.015,18.555,23
Croatia,23.40392563,23.6912517,22.66814727,22.16098857,21.98561944,23.59637667,25.10270132,25.38911307,26.75713425,28.03985297,27.81657177,28.96872153,28.26638148,27.27978614,28.04690516,28.46556846,31.02290779,26.07312366,27.92821237,28.6175515,27.66334565,12.6,14.08,14.82,15.93,17.41,20
Italy,6.315924348,7.549384509,8.328379876,9.807281531,11.49151121,12.77543705,13.02269634,12.88068598,15.44064567,16.74067185,17.08155744,17.52549964,17.41472465,18.26697538,17.7957606,18.18125786,20.35881754,14.16066583,16.91111465,17.47011215,18.03136799,5.2,7.56,8.74,10.51,12.87,17
Cyprus,3.071081059,3.131077669,3.263391691,4.000634638,5.130610118,5.920212113,6.160989575,6.244568434,7.110887747,8.428122185,9.14369146,9.902654034,9.833025591,10.47804936,13.87300282,13.77741652,16.87924887,6.677728091,8.785906823,9.867839812,12.17552609,2.9,4.92,5.93,7.445,9.465,13
Latvia,32.79425042,32.26440896,31.14135699,29.61498342,29.81140599,34.31749242,30.37518341,33.47806579,35.70889243,37.03695453,38.62877715,37.53844814,37.13771458,39.00843398,40.01900372,40.9285915,42.13190358,34.59347911,37.83286584,37.33808136,39.51371885,32.6,34.08,34.82,35.93,37.41,40
